query_id,query_num,found_query,gt_rows,pred_rows,F1-Cell,Cardinality,Tuple Constr.,AVG-Score,tokens,time_s,dataset,model_folder,model,method,method_label,run_id,run_num,category,query_label,pred_dir
query11,11,1,11,13,0.9787234042553191,0.8461538461538461,0.6363636363636364,0.8204136289242672,576.0,3.4802038338966668,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query12,12,1,12,13,0.9795918367346939,0.9230769230769231,0.6666666666666666,0.8564451421594278,572.0,4.566931540844962,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query13,13,1,13,14,0.9803921568627451,0.9285714285714286,0.6153846153846154,0.8414494002729297,604.0,4.4241498748306185,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query14,14,1,11,11,1.0,1.0,0.36363636363636365,0.787878787878788,514.0,2.8018429579678923,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query15,15,1,12,12,0.9767441860465117,1.0,0.4166666666666667,0.7978036175710593,529.0,3.2351149171590805,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query16,16,1,8,9,1.0,0.8888888888888888,0.75,0.8796296296296297,449.0,3.1729975841008127,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query17,17,1,10,5,1.0,0.5,0.8888888888888888,0.7962962962962963,314.0,1.3742812499403954,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query18,18,1,5,5,1.0,1.0,0.8,0.9333333333333332,321.0,1.5585285418201238,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query19,19,1,3,4,1.0,0.75,0.6666666666666666,0.8055555555555555,284.0,1.2946987920440733,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query20,20,1,6,7,1.0,0.8571428571428571,1.0,0.9523809523809524,383.0,2.394051874987781,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query21,21,1,1,1,0.0,1.0,0.0,0.3333333333333333,129.0,0.9281442910432816,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query22,22,1,1,1,0.0,1.0,0.0,0.3333333333333333,126.0,0.8006914998404682,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query23,23,1,1,1,0.0,1.0,0.0,0.3333333333333333,139.0,0.8175797499716282,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query24,24,1,1,1,0.0,1.0,0.0,0.3333333333333333,129.0,0.9330665830057114,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query25,25,1,1,1,0.0,1.0,0.0,0.3333333333333333,129.0,1.1259519578889012,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query26,26,1,1,1,0.0,1.0,0.0,0.3333333333333333,129.0,0.8149484999012202,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query27,27,1,1,1,0.0,1.0,0.0,0.3333333333333333,129.0,0.9658664159942418,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query28,28,1,1,1,0.0,1.0,0.0,0.3333333333333333,129.0,1.1536022499203682,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query29,29,1,1,1,0.0,1.0,0.0,0.3333333333333333,136.0,0.7263960000127554,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query30,30,1,1,1,0.0,1.0,0.0,0.3333333333333333,129.0,1.298617749940604,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query31,31,1,1,1,0.6666666666666666,1.0,0.0,0.5555555555555555,240.0,1.5402715411037207,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q4,q4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query32,32,1,4,2,1.0,0.5,0.0,0.5,226.0,1.2568857499863952,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q4,q4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query33,33,1,4,1,0.6666666666666666,0.25,0.0,0.3055555555555555,241.0,1.0554774161428213,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q4,q4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query34,34,1,1,1,0.8,1.0,0.0,0.6,198.0,0.7301775841042399,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q4,q4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query35,35,1,1,1,0.8,1.0,0.0,0.6,195.0,0.9890857920981944,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q4,q4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query36,36,1,1,1,1.0,1.0,0.0,0.6666666666666666,196.0,0.7244442498777062,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q4,q4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query37,37,1,1,1,1.0,1.0,0.0,0.6666666666666666,199.0,0.6627049590460956,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q4,q4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query38,38,1,1,1,1.0,1.0,0.0,0.6666666666666666,200.0,0.9132774590980262,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q4,q4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query39,39,1,1,1,0.6666666666666666,1.0,0.0,0.5555555555555555,210.0,1.181845957878977,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q4,q4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query40,40,1,1,1,0.6666666666666666,1.0,0.0,0.5555555555555555,244.0,1.622108707902953,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q4,q4,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query41,41,1,3,6,0.6,0.5,0.0,0.3666666666666667,255.0,1.8334842501208186,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q5,q5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query42,42,1,5,5,0.7058823529411765,1.0,0.2,0.6352941176470589,236.0,1.0754855829291046,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q5,q5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query43,43,1,5,5,0.6666666666666667,1.0,0.0,0.5555555555555556,237.0,2.1102410410530865,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q5,q5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query44,44,1,11,11,0.896551724137931,1.0,0.18181818181818182,0.6927899686520376,345.0,1.9683719999156892,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q5,q5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query45,45,1,10,11,0.8488745980707394,0.9090909090909091,0.1,0.6193218357205496,345.0,1.8543221671134233,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q5,q5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query46,46,1,11,11,0.8571428571428571,1.0,0.2727272727272727,0.70995670995671,345.0,2.013610125053674,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q5,q5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query47,47,1,11,11,0.8571428571428571,1.0,0.09090909090909091,0.6493506493506493,345.0,2.7218794578220695,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q5,q5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query48,48,1,11,11,0.7857142857142856,1.0,0.0,0.5952380952380952,345.0,1.9899665410630405,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q5,q5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query49,49,1,11,11,0.8571428571428571,1.0,0.09090909090909091,0.6493506493506493,345.0,3.048408166039735,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q5,q5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query50,50,1,11,11,0.7857142857142857,1.0,0.0,0.5952380952380952,345.0,1.5918138329870999,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_1,1,q5,q5,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_1/nobel_prizes
query1,1,1,1,1,1.0,1.0,1.0,1.0,156.0,1.4382083339150995,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query2,2,1,1,1,1.0,1.0,1.0,1.0,158.0,0.770984458969906,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query3,3,1,2,2,1.0,1.0,1.0,1.0,178.0,0.6985253752209246,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query4,4,1,1,1,1.0,1.0,1.0,1.0,160.0,0.9358068748842925,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query5,5,1,1,1,1.0,1.0,1.0,1.0,158.0,1.010297000175342,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query6,6,1,1,1,1.0,1.0,1.0,1.0,157.0,0.7284747080411762,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query7,7,1,1,1,1.0,1.0,1.0,1.0,159.0,1.1348717499058694,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query8,8,1,1,1,1.0,1.0,1.0,1.0,161.0,0.9274536669254303,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query9,9,1,1,1,1.0,1.0,1.0,1.0,157.0,1.04713987512514,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query10,10,1,2,2,1.0,1.0,1.0,1.0,179.0,0.7710558748804033,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q1,q1,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query11,11,1,11,6,0.9787234042553191,0.5454545454545454,0.6363636363636364,0.7201805286911669,351.0,2.376035541994497,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query12,12,1,12,13,0.9795918367346939,0.9230769230769231,0.6666666666666666,0.8564451421594278,572.0,4.617992541054264,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query13,13,1,13,14,0.9803921568627451,0.9285714285714286,0.6153846153846154,0.8414494002729297,612.0,3.8430969999171793,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query14,14,1,11,11,1.0,1.0,0.36363636363636365,0.787878787878788,514.0,2.639081500004977,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query15,15,1,12,12,0.9767441860465117,1.0,0.4166666666666667,0.7978036175710593,529.0,5.010739291785285,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query16,16,1,8,8,1.0,1.0,0.75,0.9166666666666666,415.0,2.9882303341291845,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query17,17,1,10,5,1.0,0.5,0.8888888888888888,0.7962962962962963,314.0,1.6898571248166263,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query18,18,1,5,5,1.0,1.0,0.8,0.9333333333333332,321.0,2.2769587500952184,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query19,19,1,3,2,1.0,0.6666666666666666,0.6666666666666666,0.7777777777777777,223.0,2.3897867500782013,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query20,20,1,6,7,1.0,0.8571428571428571,1.0,0.9523809523809524,383.0,2.628808999899775,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q2,q2,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query21,21,1,1,1,0.0,1.0,0.0,0.3333333333333333,129.0,0.6539238330442458,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query22,22,1,1,1,0.0,1.0,0.0,0.3333333333333333,126.0,0.812695707892999,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query23,23,1,1,1,0.0,1.0,0.0,0.3333333333333333,139.0,1.0102751669473946,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query24,24,1,1,1,0.0,1.0,0.0,0.3333333333333333,129.0,0.8307492081075907,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
query25,25,1,1,1,0.0,1.0,0.0,0.3333333333333333,129.0,0.8638190841302276,nobel_prizes,azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825,GPT-4o-mini,nl,NL,run_2,2,q3,q3,RUNS_NOBEL_ALIASFIX/azure-gpt-4o-mini-ALLMODES-tau0.6-20260506_231825/nl/run_2/nobel_prizes
